"Ministry of Economy and Finance","기획재정부","명사"
"Ministry of Foreign Affairs","외교부","명사"
"ambassador","대사; 사절","명사"
"embassy","대사관; 사절단","명사"
"diplomat","외교관","명사"
"deduct","공제하다; 감하다","동사"
"expand","확대[확장; 팽창]되다","동사"
"tax-free","비과세의; 면세의","형용사"
"income","소득; 수입","명사"
"mortgage","(담보) 대출[융자]금; 저당 잡히다","명사/동사"
"payment","지불; 지급; 납입","명사"
"pension","연금; 생활 보조금; 수당","명사"
"fiscal","국가 재정의; 국고의; 재정상의","형용사"
"coordination","조정; 일치; 합동; 조화; 조절(력)","명사"
"duty-free","면세의; 관세가 없는","형용사"
"implementation","시행; 이행","명사"
"tax revenue","세수입; 세입","명사"
"oversee","감독하다; 단속하다; 내려다 보다","동사"
"institution","기관; 단체; 제도","명사"
"crowd funding","크라우드 펀딩(웹이나 모바일 네트워크 등을 통해 다수의 개인으로부터 자금을 모으는 행위)","명사"
"international","국제적인","형용사"
"strengthen","강화하다; 증강하다","동사"
"treaty","조약","명사"
"advanced","선진의; 고급의","형용사"
"monetary","통화의; 화폐의","형용사"
"negotiation","협상; 교섭","명사"
"prolong","연장하다; 연장시키다","동사"
"tariff","관세; 세율; ~에 관세를 매기다[부과하다]","명사/동사"
"infrastructure","사회[공공] 기반 시설","명사"
"scope","기회; 범위; 살살이 살피다","명사/동사"
"sovereignty","주권; 통치권","명사"
"alliance","동맹; 연합","명사"
"soft power","소프트 파워(정보과학이나 문화·예술 등이 행사하는 영향력)","명사"
"deflation","디플레이션; 통화 수축; 물가 하락","명사"
"inflation","인플레이션; 통화 팽창; 물가 상승률","명사"
"subsidy","(국가의) 보조금; 장려금","명사"
"surplus","과잉; 여분; 흑자","명사"
"exposition","박람회; 전시회","명사"
"summit meeting","정상 회담","명사"
"peninsula","반도","명사"
"statement","성명; 진술; 서술","명사"
"Ministry of National Defense","국방부","명사"
"Ministry of Unification","통일부","명사"
"military","군대; 군사의","명사/형용사"
"deterrence","제지; 저지; 억제","명사"
"proactive","상황을 앞서서 주도하는; 주도적인","형용사"
"network","망; 통신망; 네트워크","명사"
"countermeasure","대책; 보호 조치","명사"
"convene","소집하다; 회합하다","동사"
"battlefield","싸움터; 전장","명사"
"surveillance","감시; 감독","명사"
"complicity","공모; 연루; 공범","명사"
"havoc","대파괴; 큰 혼란","명사"
"patrol","순찰; 순시; 순찰[순시; 순회]하다","명사/동사"
"fidelity","충실함; 신의","명사"
"triumph","승리; 대성공","명사"
"navy","해군","명사"
"air force","공군","명사"
"army","육군; 군대","명사"
"shell","껍질; 껍데기; 포탄","명사"
