"abuse","남용; 학대; 남용하다; 학대하다","명사/동사"
"access","접근; 접근하다","명사/동사"
"accord","합의; 부여하다; 부합하다","명사/동사"
"account","설명; 계좌; 간주하다; 여기다","명사/동사"
"advance","전진; 발전; 전진하다; 나아가다","명사/동사"
"alert","경보; 빈틈없는; 경계하는","명사/형용사/동사"
"alien","외계인; 이방인; 외국의; 외래의","명사/형용사"
"ally","동맹국; 협력자; 동맹(연합); 제휴하다","명사/동사"
"amount","양; 액수; (얼마만큼) 되다; 달하다","명사/동사"
"approach","접근; 접근법; 다가가다; 접근하다","명사/동사"
"arrest","체포; 체포하다","명사/동사"
"assault","공격; 폭행; 폭행하다","명사/동사"
"attack","공격; 공격하다","명사/동사"
"attempt","시도; 시도하다","명사/동사"
"balance","균형; 잔고; 잔액; 균형을 유지하다","명사/동사"
"bar","술집; 막대기; 봉; 막다; 금지하다","명사/동사"
"bet","내기; 내기를 하다","명사/동사"
"bias","편향; 편견; 편견을 갖게 하다","명사/동사"
"blame","책임; 비난; 탓하다; 비난하다","명사/동사"
"blast","돌풍; 폭발; 폭발시키다","명사/동사"
"blend","혼합; 조합; 섞다","명사/동사"
"blossom","꽃; 개화; 꽃이 피다; 번영하다","명사/동사"
"blow","강타; 충격; 불다; 날리다","명사/동사"
"bond","유대; 결속; 접착하다","명사/동사"
"boom","붐; 호황; 호황을 맞다","명사/동사"
"boost","격려; 힘; 북돋우다; 밀어 올리다","명사/동사"
"border","가장자리; 국경; (국경을) 접하다","명사/동사"
"bother","성가심; 귀찮게 하다; 괴롭히다","명사/동사"
"broadcast","방송; 방송하다","명사/동사"
"bully","괴롭히는 사람; 괴롭히다","명사/동사"
"bump","쿵 소리; 혹; 부딪치다","명사/동사"
"burden","부담; 짐[부담]을 지우다","명사/동사"
"burst","쏟음; 파열; 터지다; 파열하다","명사/동사"
"capture","포획; 구금; 사로잡다; 포획하다","명사/동사"
"cause","원인; 이유; 유발하다; 야기하다","명사/동사"
"censor","검열관; 검열관; 검열하다","명사/동사"
"chase","추적; 추격; 뒤쫓다","명사/동사"
"chemical","화학 물질; 화학의","명사/형용사"
"clash","충돌; 충돌하다; 맞붙다","명사/동사"
"classic","고전; 명작; 일류의; 전형적인; 고전적인","명사/형용사"
"cluster","무리; 군집; 무리를 이루다","명사/동사"
"combat","전투; 싸움; 싸우다","명사/동사"
"comment","논평; 언급; 논평하다; 견해를 밝히다","명사/동사"
"commission","위원회; 위원단; 수수료; 의뢰[주문]하다; 위임하다","명사/동사"
"complete","완전한; 완벽한; 완료하다; 마치다","형용사/동사"
"complex","단지; 복합 건물; 복잡한","명사/형용사"
"conflict","갈등; 상충하다","명사/동사"
"contract","계약; 계약하다; 수축하다; 병에 걸리다","명사/동사"
"contrast","대조; 차이; 대조하다; 차이를 보이다","명사/동사"
"convert","전환자; 개종자; 전환시키다","명사/동사"
"coordinate","좌표; 동등한 사람[것]; 조직화하다; 조정하다; 동등하게 하다","명사/형용사/동사"
"core","핵심; 중심부; 핵심적인; 중요한","명사/형용사"
"correct","정확한 옳은; 바로잡다; 정정하다","형용사/동사"
"corrupt","부패한; 타락한; 타락시키다","형용사/동사"
