"rebellious","반항적인; 반역하는","형용사"
"sporadic","산발적인; 때때로 일어나는","형용사"
"prodigal","낭비하는; 방탕한","형용사"
"unstable","불안정한; 변하기 쉬운","형용사"
"motivation","자극; 동기부여","명사"
"paucity","결핍; 부족","명사"
"solitary","혼자의; 고독한; 외로운","형용사"
"antipathy","반감; 싫어함","명사"
"dormant","잠자는; 활동하지 않고 있는","형용사"
"alternative","대안; 양자택일","명사"
"order","순서; 정리; 명령; 주문; 질서; 정리하다; 명령하다; 주문하다","명사/동사"
"sacrifice","희생하다","동사"
"depict","묘사하다; 그리다","동사"
"vulnerable","상처 입기 쉬운; 취약한","형용사"
"perceptible","감지[인지]할 수 있는","형용사"
"persuade","설득하다; 남독시키다","동사"
"conduct","행동; 수행; 지휘하다; 행동하다; 실시하다","명사/동사"
"acknowledge","인정하다; 감사하다","동사"
"squander","낭비[허비]하다; 함부로 쓰다","동사"
"fond","좋아하는; 애정을 느끼는","형용사"
"reject","거부하다; 거절하다","동사"
"notorious","악명 높은","형용사"
"obey","따르다; 복종하다","동사"
"codify","성문화하다","동사"
"disparage","평하하다; 알보다; 험듭다","동사"
"appease","달래다; 진정시키다","동사"
"include","포함하다; 포함시키다","동사"
"communal","공공의; 공동의","형용사"
"enlighten","계몽하다; 가르치다; 이해시키다[깨우치다]","동사"
"recite","암송[낭독]하다","동사"
"deforestation","삼림 벌채; 산림 전용","명사"
"comfort","위로; 위안; 위로하다; 위안하다","명사/동사"
"acclaim","칭찬[환호]하다; 찬송하다","동사"
"voracious","게걸스러운; 탐식 탐하는","형용사"
"industrious","근면한; 부지런한","형용사"
"competition","경쟁; 경기","명사"
"traffic","교통; 차량","명사"
"merger","합동; 합병","명사"
"inspection","점검; 조사","명사"
"considerable","상당한; 많은","형용사"
"solid","단단한; 고체의; 확실한","형용사"
"diffident","자신이 없는; 내성적인; 소심한","형용사"
"willing","기꺼이 하는; 자발적인","형용사"
"desirable","바람직한; 호감이 가는","형용사"
"bankrupt","파산한","형용사"
"assimilate","동화되다; 완전히 이해하다[소화하다]","동사"
"bestow","수여[부여]하다; 주다","동사"
"decipher","판독[해독]하다","동사"
"curb","억제[제한]하다","동사"
"abstain","삼가다; 절제하다; 기권하다","동사"
"jealousy","질투; 시샘","명사"
"down-to-earth","실제적인; 현실적인","형용사"
"distinct","뚜렷한; 명백한","형용사"
"profitable","수익성이 있는; 이득이 되는","형용사"
"urge","충동; 욕구; 재촉하다; 촉구하다","명사/동사"
"utility","유용; 유익","명사"
"exacerbate","악화시키다; 화나게 하다","동사"
"linger","남다; 꾸물거리다","동사"
"proscribe","금지하다; 배척하다","동사"
"critical","중요한; 비판적인","형용사"
"supplement","보충[추가]물; 보충하다; 추가하다","명사/동사"
