"pursue","추구하다; 뒤쫓다","동사"
"qualify","자격을 얻다; 자격[권리]을 주다","동사"
"quote","인용구; 인용하다","명사/동사"
"raise","들어 올리다; 일으키다; 기르다","동사"
"realize","깨닫다; 실현시키다","동사"
"recall","기억해 내다; 상기하다","동사"
"receive","받다; 받아들이다","동사"
"recognize","인식하다; 알아보다; 인정하다","동사"
"recommend","추천하다; 권하다; 충고하다","동사"
"recover","회복하다; 되찾다","동사"
"recruit","신병(신참자); 모집하다","명사/동사"
"recycle","재활용하다","동사"
"reduce","줄이다; 낮추다","동사"
"refer","참조하다; 언급하다","동사"
"refine","정제하다; 개선하다","동사"
"reflect","비추다; 반사하다; 반영하다; 숙고하다 (on)","동사"
"refuse","거절하다; 거부하다","동사"
"register","기록부; 명부; 등록하다","명사/동사"
"regulate","규제하다; 조절하다","동사"
"reinforce","강화하다; 보강하다","동사"
"relate","관련시키다; 관계되다","동사"
"relax","휴식을 취하다; 진정하다","동사"
"relieve","완화하다; 줄이다; 덜어 주다","동사"
"rely","의지하다; 의존하다 (on)","동사"
"remain","남아 있다; 유물(pl.); 유적(pl.)","동사/명사"
"remind","상기시키다","동사"
"remove","제거하다","동사"
"repeat","반복하다","동사"
"replace","대신하다; 교체하다","동사"
"represent","대표하다; 대신하다","동사"
"require","요구하다; 필요로 하다","동사"
"resemble","닮다; 비슷하다","동사"
"reserve","예약하다; 비축하다; 유보하다","동사"
"resist","저항하다; 참다","동사"
"resolve","해결하다; 결심하다; 분해(용해)하다","동사"
"respond","대답하다; 반응하다","동사"
"restore","회복시키다; 복구하다","동사"
"restrict","제한하다; 한정하다","동사"
"resume","이력서; 재개하다; 다시 시작하다","명사/동사"
"reveal","드러내다; 폭로하다","동사"
"revive","부활시키다; 소생시키다","동사"
"rid","없애다; 제거하다","동사"
"roast","굽다","동사"
"rob","털다; 강탈하다","동사"
"roll","구르다; 회전하다","동사"
"satisfy","만족시키다; 충족시키다","동사"
"scare","겁주다; 놀라게 하다; 무서워하다","동사"
"scatter","흩뿌리다; 쫓아 버리다","동사"
"scold","꾸짖다","동사"
"scramble","뒤섞다; 급이모으다","동사"
"sculpt","조각하다","동사"
"seek","찾다; 추구하다","동사"
"seem","~인 것 같다; ~처럼 보이다","동사"
"seize","붙잡다; 움켜잡다; 장악하다; 체포하다","동사"
"select","선택하다","동사"
"serve","제공하다; 섬기다","동사"
"settle","해결하다; 결정하다; 정착하다","동사"
"shave","면도하다; 깎다","동사"
"shrink","줄어들다; 오그라들다","동사"
"simulate","흉내 내다; 가장하다; ~인 체하다","동사"
"skip","건너뛰다; 생략하다; 팔짝팔짝 뛰다","동사"
"soak","적시다; 담그다; 흡수하다","동사"
"solve","해결하다; 풀다","동사"
"spell","철자를 말하다; 철자를 쓰다","동사"
"spend","(시간; 돈을) 쓰다; 보내다","동사"
